neuron_id,cell_type,observed,seed,teacher_rate_hz,student_rate_hz,fluctuation_r2
3995,excitatory,0,44,12.732919254658384,23.757763975155278,-0.06209874153137207
3996,excitatory,0,44,0.07763975155279502,0.07763975155279502,0.9997972249984741
3997,excitatory,0,44,0.0,0.0,
3998,excitatory,0,44,0.07763975155279502,0.0,-0.013686418533325195
3999,excitatory,0,44,0.2329192546583851,0.0,-0.04297173023223877
4000,excitatory,0,44,2.0962732919254656,1.5527950310559004,0.7910106182098389
4001,excitatory,0,44,0.0,0.0,
4003,excitatory,0,44,0.0,0.0,
4004,inhibitory,0,44,0.0,0.07763975155279502,
4005,excitatory,0,44,0.0,0.07763975155279502,
4006,excitatory,0,44,2.1739130434782608,2.484472049689441,0.44707155227661133
4007,excitatory,0,44,2.795031055900621,2.1739130434782608,0.8039835691452026
4008,excitatory,0,44,0.15527950310559005,0.0,-0.014685511589050293
4010,excitatory,0,44,0.0,0.0,
4012,excitatory,0,44,0.3105590062111801,0.15527950310559005,0.36652499437332153
4013,excitatory,0,44,1.5527950310559004,0.9316770186335404,0.746900200843811
4014,excitatory,0,44,2.251552795031056,2.1739130434782608,0.6508801579475403
4015,excitatory,0,44,0.6211180124223602,0.15527950310559005,0.05616104602813721
4016,excitatory,0,44,0.0,0.0,
4017,excitatory,0,44,0.15527950310559005,0.07763975155279502,0.42361390590667725
4018,excitatory,0,44,0.07763975155279502,0.0,-0.013948798179626465
4019,excitatory,0,44,0.0,0.0,
4020,inhibitory,0,44,93.09006211180123,89.20807453416148,0.9349480867385864
4021,inhibitory,0,44,48.68012422360248,47.981366459627324,0.9330431222915649
4023,inhibitory,0,44,0.0,0.0,
4024,excitatory,0,44,5.2018633540372665,2.795031055900621,0.15855908393859863
4025,excitatory,0,44,0.0,0.0,
4026,excitatory,0,44,0.0,0.2329192546583851,
4027,excitatory,0,44,0.0,0.0,
4028,excitatory,0,44,0.07763975155279502,0.0,-0.01395261287689209
4030,excitatory,0,44,0.0,0.0,
4031,excitatory,0,44,0.0,0.0,
