# Cumulative fraction of synaptic input volume, largest presynaptic partners first.
# Per-cell curves resampled from original presynaptic partners count onto 390 inputs.
# Dense connectome 230219a-rsg11-std-spl-edges_ariadne-20260417T142327_run-20260417T143444_connectome-20260421T131207.hdf5; synapse score > 138.6; proofread cells only.
x_inputs_resampled,spiny_median,spiny_q25,spiny_q75,smooth_median,smooth_q25,smooth_q75
96,0.5509401779408977,0.5362240679102603,0.5777363771456661,0.642081280590926,0.5414183696848685,0.7275094317191563
97,0.554231619507765,0.5395868017180068,0.5810475847771944,0.6462115506311722,0.5451413466338405,0.731459652191057
98,0.5575956670488382,0.5429282638782565,0.5843268959067525,0.6503418206714183,0.5488534622494614,0.7354098726629578
99,0.5609551000531832,0.5462533536467167,0.587552972935625,0.6544720907116645,0.5525558358216476,0.7393600931348585
100,0.564300050508223,0.5495948435591793,0.5907842109158439,0.6590183400574974,0.5562471295129989,0.742802542437986
101,0.5676302816541334,0.5529559490366793,0.5940422630290896,0.6641532383517693,0.5598718360474659,0.7459509444733798
102,0.5709401348961345,0.5563005172278621,0.5972862671813813,0.6692881366460413,0.5634642275271058,0.7490993465087736
103,0.5741689451325097,0.5595680579648202,0.6005081580350728,0.6744230349403131,0.5670497769726762,0.7520986390666511
104,0.5773608380325862,0.56278986802921,0.6036415743861223,0.679557933234585,0.5706317779151797,0.7551859856723534
105,0.5805334692575519,0.5660425803971841,0.6067600041430403,0.6844230584145466,0.5742113741545306,0.7585243312498546
106,0.5838275733857581,0.5692473880425013,0.609931293351059,0.6892881835945083,0.5775881114369368,0.7618626768273558
107,0.5869216752427786,0.5724408025220955,0.6130848348240181,0.6930996651366016,0.5807601468196801,0.7652010224048571
108,0.5900192079214318,0.5755972272343521,0.6164382898948568,0.6967637034339913,0.5839129504692195,0.7684552702800872
109,0.5931049537178694,0.5787157991791665,0.6195382378321151,0.7002380057024272,0.5870526379430878,0.7715903797437668
110,0.5962395126376498,0.5818244383172344,0.622523305365742,0.7036174399563861,0.5901789924490444,0.7747254892074463
111,0.5993643034150741,0.5849272571746564,0.6254920874707045,0.7069968742103451,0.5932949962659247,0.7778605986711258
112,0.6024705568697539,0.5880184169831733,0.6284520409298711,0.7103763084643041,0.5963939942369665,0.7809957081348053
113,0.6055586830880724,0.5910955619957915,0.6313717353024741,0.713755742718263,0.5994758739530732,0.7841308175984849
114,0.6086169643136456,0.594149291368812,0.6342727062013073,0.7171351769722221,0.6025475659199784,0.7872578325519244
115,0.6116342186188204,0.5971875676648523,0.6370883363581576,0.720514611226181,0.6055978005174869,0.7903824866065439
116,0.6145642761637795,0.6002125688339293,0.639883345607327,0.7238940454801399,0.608628515640486,0.7935071406611633
117,0.6174794581053449,0.6032297877523033,0.6426725565772383,0.727273479734099,0.6116471609136049,0.7966317947157828
118,0.6203702945629576,0.6062387955559658,0.645453415618104,0.7306529139880579,0.6146535326267352,0.7997564487704023
119,0.6232414319800754,0.6092393675574745,0.6482026988647461,0.7340323482420169,0.6176492661458793,0.8028811028250217
120,0.6261450277912403,0.612281138322232,0.6508981284231602,0.7371726227782719,0.6206263798582938,0.8060057568796412
121,0.6290577783494602,0.6152921546316925,0.6535775171386403,0.740265065370986,0.6235800284371888,0.8090899441511096
122,0.6319629012816972,0.6182571444995331,0.6562394056737907,0.7433575079637003,0.6265165996838773,0.8116320442839633
123,0.6348471364916299,0.6211768576380894,0.6589090950743486,0.7464499505564144,0.6294291874129188,0.814169347495292
124,0.6377184875898148,0.6240910918115373,0.6616137647710861,0.7495423931491286,0.6323321988106925,0.816677807463744
125,0.6405381014494538,0.627006416632915,0.6642690625284143,0.7526348357418428,0.6352244050998368,0.819188315038914
126,0.643291213277168,0.6298046775163942,0.66683928341983,0.755727278334557,0.6380487277470375,0.822105427227526
127,0.6460610238587212,0.6327525162884047,0.6697205405955545,0.7588197209272711,0.6408310164857914,0.8250567567818756
128,0.6488473568260702,0.6356987844909112,0.6722837219223153,0.7619121635199854,0.6436052066540628,0.8280080863362251
129,0.6515582975068741,0.6385546926635708,0.6748594180628046,0.7646277985995618,0.6463666282798872,0.8309594158905749
130,0.6542956352442904,0.6413847252854439,0.6774188054329164,0.7669018078342802,0.6491177260404286,0.8339107454449244
131,0.6570111188575194,0.644190154766445,0.6799724406067833,0.7691758170689986,0.651863663563593,0.8360408522141582
132,0.6597162115147293,0.6469680092779897,0.6825115820017148,0.7714498263037171,0.6545858650062617,0.8381709589833921
133,0.6624168228486611,0.6497287933740598,0.6850459149895348,0.7737238355384356,0.65728787046918,0.8402665766784093
134,0.6651113889714055,0.6524529828725576,0.687571089183574,0.775997844773154,0.6599774675881034,0.8421904339865999
135,0.6677926670890472,0.6551662399603679,0.69008197778526,0.7782079472459247,0.6626490974895408,0.8438783312040564
136,0.6704629024931474,0.657910633011229,0.6925718079221574,0.780413789267899,0.6653052721086867,0.8456343872160661
137,0.6730911222565976,0.6606060609594986,0.6951483946892029,0.7826196312898732,0.6679513692270178,0.8473433342582989
138,0.6756822842103314,0.663310016232695,0.6977406728318984,0.7848254733118474,0.6705796820975763,0.8491645474061477
