component,eigenvalue,variance_fraction,cumulative_fraction
326,0.00036433082592912387,0.00025022135669029553,0.9296252354557624
327,0.0003628131487312518,0.000249179020383723,0.929874414476146
328,0.00036077615603904674,0.0002477800196988045,0.9301221944958449
329,0.000358932074513509,0.00024651350984477053,0.9303687080056896
330,0.0003569615975085128,0.000245160191941297,0.9306138681976309
331,0.00035644859131352705,0.00024480786077148045,0.9308586760584024
332,0.00035337340750172375,0.00024269583343067245,0.9311013718918331
333,0.000352519093363575,0.00024210909295340944,0.9313434809847865
334,0.00034880012101000114,0.00023955491350556338,0.9315830358982921
335,0.00034693467922630895,0.00023827373348805634,0.9318213096317801
336,0.0003454098136053384,0.00023722646019330674,0.9320585360919734
337,0.0003434747948486772,0.00023589749491215558,0.9322944335868856
338,0.00034061701647136603,0.00023393478099447543,0.93252836836788
339,0.00034013025353547084,0.00023360047361904094,0.9327619688414991
340,0.00033927018401989136,0.0002330097803652175,0.9329949786218643
341,0.00033600242605469664,0.00023076549365326737,0.9332257441155176
342,0.000334768519673259,0.00022991805032204565,0.9334556621658396
343,0.0003318742166104858,0.0002279302513561111,0.9336835924171958
344,0.0003315265515136011,0.00022769147597388945,0.9339112838931697
345,0.00032959388008468686,0.00022636412283064057,0.9341376480160003
346,0.00032819572998043947,0.00022540387738599756,0.9343630518933863
347,0.0003237896208715865,0.0002223777744035474,0.9345854296677899
348,0.00032330304043697386,0.0002220435923694655,0.9348074732601593
349,0.00032257787637664047,0.00022154555179182037,0.9350290188119511
350,0.0003212098920967712,0.00022060602414804514,0.9352496248360992
351,0.0003204366933136438,0.00022007499346182188,0.935469699829561
352,0.00031807306762999453,0.0002184516621838207,0.9356881514917448
353,0.0003174700893888998,0.00021803753847316108,0.9359061890302179
354,0.00031530645323155456,0.0002165515594229546,0.9361227405896408
355,0.0003136467305846145,0.00021541166671311363,0.936338152256354
356,0.0003117424863622605,0.00021410383729304758,0.936552256093647
357,0.0003087390098595926,0.00021204105832459656,0.9367642971519716
358,0.0003082891978555503,0.00021173212874220392,0.9369760292807139
359,0.0003070331691812019,0.0002108694918842442,0.9371868987725981
360,0.00030622698340863425,0.00021031580582915444,0.9373972145784273
361,0.00030455554177721876,0.0002091678645546964,0.937606382442982
362,0.00030168765066995886,0.00020719820524335884,0.9378135806482254
363,0.0002992716886522502,0.0002055389295226135,0.938019119577748
364,0.00029750083294446077,0.0002043227109482565,0.9382234422886963
365,0.0002964298575595818,0.0002035871681538665,0.9384270294568501
366,0.00029536789411328275,0.0002028578147328081,0.9386298872715829
367,0.000294627258153138,0.00020234914809915606,0.938832236419682
368,0.00029379507893880755,0.00020177760982350174,0.9390340140295056
369,0.0002917920742058714,0.00020040195197063078,0.9392344159814763
370,0.0002901589175930723,0.00019928030473614227,0.9394336962862124
371,0.0002885027770498519,0.00019814287220476756,0.9396318391584172
372,0.00028689105945676574,0.0001970359492269625,0.9398288751076441
373,0.0002847807465277868,0.00019558659241565357,0.9400244617000598
374,0.0002832909821733045,0.00019456342656912724,0.9402190251266289
375,0.0002815430330471822,0.000193362940168756,0.9404123880667977
376,0.000279981700364024,0.00019229062140125005,0.940604678688199
377,0.0002795041779413364,0.0001919626603835398,0.9407966413485825
378,0.0002782713931928419,0.00019111598738657685,0.9409877573359691
379,0.0002778768894636182,0.0001908450433672395,0.9411786023793363
380,0.00027681735312372856,0.00019011735687583778,0.9413687197362121
381,0.000275766972145231,0.00018939595826013988,0.9415581156944722
382,0.00027489580275679327,0.00018879764164576602,0.941746913336118
383,0.0002736332792253732,0.0001879305441387689,0.9419348438802568
384,0.0002705234443896689,0.00018579471857504333,0.9421206385988319
385,0.00026885215669053813,0.0001846468830208329,0.9423052854818527
386,0.0002673510177696488,0.00018361590515502196,0.9424889013870077
387,0.0002671026201678612,0.00018344530640110264,0.9426723466934088
388,0.0002651578584422678,0.00018210964967708994,0.942854456343086
389,0.0002645014312782086,0.00018165881740084657,0.9430361151604868
390,0.0002632562311605263,0.00018080361756426177,0.943216918778051
391,0.00026136620955185137,0.00017950555619410306,0.9433964243342451
392,0.0002606794316361589,0.00017903387910948838,0.9435754582133545
393,0.00026027904489063936,0.00017875889465158748,0.9437542171080061
394,0.00025960796112114103,0.00017829799626115214,0.9439325151042672
395,0.0002579275707736629,0.0001771439090344044,0.9441096590133017
396,0.00025683325026017303,0.00017639233287325705,0.9442860513461749
397,0.0002547681266067895,0.00017497401192562642,0.9444610253581006
398,0.00025363488765460144,0.0001741957066934308,0.944635221064794
399,0.0002526183445199323,0.00017349754781093043,0.944808718612605
400,0.0002509193397774246,0.0001723306762715559,0.9449810492888765
401,0.0002507908208114668,0.00017224240981773497,0.9451532916986942
402,0.00024703137161296906,0.0001696604309899557,0.9453229521296842
403,0.00024674378340991437,0.00016946291624452356,0.9454924150459287
404,0.00024571515759475287,0.0001687564590120344,0.9456611715049408
405,0.0002443194377758812,0.00016779788268035298,0.9458289693876212
406,0.00024345320872565002,0.00016720295907595955,0.9459961723466971
407,0.0002427045435031322,0.00016668877796815042,0.9461628611246652
408,0.00024227285693140976,0.0001663922968802109,0.9463292534215454
409,0.0002405203829927273,0.00016518870285167042,0.946494442124397
