neuron_id,cell_type,assembly,odour_hz,odour_repeat_hz,baseline_hz
655,excitatory,2,0.5555556,0.0,0.0
656,inhibitory,2,0.0,0.0,0.0
657,inhibitory,2,12.888889,2.1111112,14.222222
658,excitatory,2,0.0,0.33333334,0.0
659,excitatory,2,0.11111111,0.11111111,0.0
660,inhibitory,2,0.0,0.0,0.0
661,excitatory,2,24.555555,18.666666,5.3333335
662,excitatory,2,0.0,0.0,0.0
663,excitatory,2,0.0,0.11111111,0.0
664,inhibitory,2,3.0,2.8888888,1.4444444
665,excitatory,2,0.0,0.0,0.0
666,excitatory,2,0.33333334,1.1111112,0.44444445
667,excitatory,2,0.11111111,0.0,0.0
668,inhibitory,2,1.3333334,2.0,1.1111112
669,excitatory,2,0.33333334,0.0,0.0
670,excitatory,2,0.0,0.0,0.22222222
671,inhibitory,2,92.888885,83.55556,62.333332
672,excitatory,2,0.11111111,0.11111111,0.0
673,excitatory,2,10.555555,8.0,21.88889
674,inhibitory,2,25.222221,22.444445,19.333334
675,excitatory,2,12.888889,11.222222,5.0
676,excitatory,2,0.0,0.0,0.0
677,inhibitory,2,0.33333334,0.44444445,0.7777778
678,excitatory,2,0.0,0.0,0.0
679,excitatory,2,0.44444445,0.7777778,0.22222222
680,excitatory,2,12.777778,13.111111,6.2222223
681,excitatory,2,0.0,0.0,0.0
682,inhibitory,2,2.5555556,4.0,7.111111
683,excitatory,2,1.8888888,2.8888888,0.0
684,inhibitory,2,34.11111,39.11111,23.333334
685,excitatory,2,1.4444444,0.6666667,2.2222223
686,inhibitory,2,0.22222222,0.6666667,1.5555556
687,excitatory,2,0.5555556,4.4444447,1.4444444
688,excitatory,2,26.222221,25.666666,15.777778
